漢字	画数	漢検級	メモ	ペア1_部品1	ペア1_部品2	ペア2_部品1	ペア2_部品2	ペア3_部品1	ペア3_部品2
驚	22	4級		敬	馬				
仰	6	4級		人	卯				
暁	12	準2級		日	尭				
凝	16	3級							
巾	3	2級							
斤	4	3級							
菌	11	準2級							
琴	12	準2級							
僅	13	2級							
緊	15	3級							
錦	16	2級		金	帛				
謹	17	準2級							
襟	18	準2級		衣	禁				
吟	7	準2級		口	今				
駆	14	4級		馬	区				
惧	11	2級		心	具	小	具		
愚	13	3級		禺	心				
偶	11	3級		人	禺				
遇	12	3級							
隅	12	準2級		阜	禺				
串	7	2級		中	口				
屈	8	4級							
掘	11	4級		手	屈				
窟	13	2級		穴	屈				
繰	19	4級							
勲	15	準2級		動	火				
薫	16	準2級							
刑	6	3級							
茎	8	準2級							
契	9	3級							
恵	10	4級							
啓	11	3級							
掲	11	3級		手	曷				
渓	11	準2級							
蛍	11	準2級							
傾	13	4級							
携	13	3級		手	隽				
継	13	4級							
詣	13	2級		言	旨				
慶	15	準2級							
憬	15	2級		心	景	小	景		
稽	15	2級							
憩	16	3級		舌	息				
鶏	19	3級							
迎	7	4級							
鯨	19	3級		魚	京				
隙	13	2級							
撃	15	4級							
桁	10	2級		木	行				
傑	13	準2級							
肩	8	4級		戸	肉	戸	月		
倹	10	3級							
兼	10	4級							
剣	10	4級							
拳	10	2級							
軒	10	4級		車	干				
圏	12	4級		口	巻				
堅	12	4級							
嫌	13	準2級		女	兼				
献	13	準2級		南	犬				
遣	13	4級							
賢	16	3級							
謙	17	準2級		言	兼				
鍵	17	2級		金	建				
繭	18	準2級							
顕	18	準2級							
懸	20	準2級							
幻	4	3級							
玄	5	4級							
弦	8	準2級		弓	玄				
舷	11	2級		船	玄				
股	8	2級							
虎	8	2級							
孤	9	3級		子	瓜				
弧	9	3級		弓	瓜				
枯	9	4級		木	古				
雇	12	3級		戸	隹				
誇	13	4級							
鼓	13	4級							
錮	16	2級		金	固				
顧	21	3級		雇	頁				
互	4	4級							
呉	7	準2級							
娯	10	3級		女	呉				
悟	10	3級		心	吾	小	吾		
